name,acceleration,origin,horsepower,cylinders,year,mpg,weight,displacement
chevrolet_chevelle_malibu,12.0,1.0,130,8.0,70.0,18.0,3504.0,307.0
buick_skylark_320,11.5,1.0,165,8.0,70.0,15.0,3693.0,350.0
plymouth_satellite,11.0,1.0,150,8.0,70.0,18.0,3436.0,318.0
amc_rebel_sst,12.0,1.0,150,8.0,70.0,16.0,3433.0,304.0
ford_torino,10.5,1.0,140,8.0,70.0,17.0,3449.0,302.0
ford_galaxie_500,10.0,1.0,198,8.0,70.0,15.0,4341.0,429.0
chevrolet_impala,9.0,1.0,220,8.0,70.0,14.0,4354.0,454.0
plymouth_fury_iii,8.5,1.0,215,8.0,70.0,14.0,4312.0,440.0
pontiac_catalina,10.0,1.0,225,8.0,70.0,14.0,4425.0,455.0
amc_ambassador_dpl,8.5,1.0,190,8.0,70.0,15.0,3850.0,390.0
dodge_challenger_se,10.0,1.0,170,8.0,70.0,15.0,3563.0,383.0
plymouth_'cuda_340,8.0,1.0,160,8.0,70.0,14.0,3609.0,340.0
chevrolet_monte_carlo,9.5,1.0,150,8.0,70.0,15.0,3761.0,400.0
buick_estate_wagon_(sw),10.0,1.0,225,8.0,70.0,14.0,3086.0,455.0
toyota_corona_mark_ii,15.0,3.0,95,4.0,70.0,24.0,2372.0,113.0
plymouth_duster,15.5,1.0,95,6.0,70.0,22.0,2833.0,198.0
amc_hornet,15.5,1.0,97,6.0,70.0,18.0,2774.0,199.0
ford_maverick,16.0,1.0,85,6.0,70.0,21.0,2587.0,200.0
datsun_pl510,14.5,3.0,88,4.0,70.0,27.0,2130.0,97.0
volkswagen_1131_deluxe_sedan,20.5,2.0,46,4.0,70.0,26.0,1835.0,97.0
peugeot_504,17.5,2.0,87,4.0,70.0,25.0,2672.0,110.0
audi_100_ls,14.5,2.0,90,4.0,70.0,24.0,2430.0,107.0
saab_99e,17.5,2.0,95,4.0,70.0,25.0,2375.0,104.0
bmw_2002,12.5,2.0,113,4.0,70.0,26.0,2234.0,121.0
amc_gremlin,15.0,1.0,90,6.0,70.0,21.0,2648.0,199.0
ford_f250,14.0,1.0,215,8.0,70.0,10.0,4615.0,360.0
chevy_c20,15.0,1.0,200,8.0,70.0,10.0,4376.0,307.0
dodge_d200,13.5,1.0,210,8.0,70.0,11.0,4382.0,318.0
hi_1200d,18.5,1.0,193,8.0,70.0,9.0,4732.0,304.0
datsun_pl510,14.5,3.0,88,4.0,71.0,27.0,2130.0,97.0
chevrolet_vega_2300,15.5,1.0,90,4.0,71.0,28.0,2264.0,140.0
toyota_corona,14.0,3.0,95,4.0,71.0,25.0,2228.0,113.0
ford_pinto,19.0,1.0,?,4.0,71.0,25.0,2046.0,98.0
